date,description,type,amount,main_category,sub_category,bank,account
2025-06-05,Costco Wholesale,debit,-50.2,Food / Dining,Groceries,goldenwest,checking
2025-06-05,Hobby Lobby,debit,-49.01,Shopping & Supplies,Hobbies,goldenwest,checking
2025-06-06,Hobby Lobby,debit,-11.25,Shopping & Supplies,Hobbies,goldenwest,checking
2025-06-06,Payroll Deposit,credit,766.59,Income,Paychecks,goldenwest,checking
2025-06-08,T-Mobile,debit,-27.9,Housing & Bills,Phone,goldenwest,checking
2025-06-14,Walmart Supercenter,debit,-71.31,Food / Dining,Groceries,goldenwest,checking
2025-06-16,Oak Hills Pharmacy,debit,-23.01,Health & Wellness,Pharmacy,goldenwest,checking
2025-06-18,Byu (Campus Services),debit,-170.0,Education,Education,goldenwest,checking
2025-06-19,Maurices,debit,-9.67,Shopping & Supplies,Clothing,goldenwest,checking
2025-06-20,Payroll Deposit,credit,736.01,Income,Paychecks,goldenwest,checking
2025-06-20,Bear River Insurance,debit,-188.0,Automotive & Fuel,Insurance,goldenwest,checking
2025-06-20,Mcdonald's,debit,-20.5,Food / Dining,Fast Food,goldenwest,checking
