date,description,type,amount,main_category,sub_category,bank,account
2025-12-20,Walmart Supercenter,debit,-36.85,Food / Dining,Groceries,capital one,credit card
2025-12-20,Walmart Supercenter,debit,-124.59,Food / Dining,Groceries,capital one,credit card
2025-12-20,Post Mart,debit,-7.97,Shopping & Supplies,General Retail,capital one,credit card
2025-12-22,Maverik,debit,-44.86,Automotive & Fuel,Fuel,capital one,credit card
2025-12-22,Domino's Pizza,debit,-17.33,Food / Dining,Fast Food,capital one,credit card
2025-12-23,Credit-Travel Reward,credit,6.96,Income,CC Rewards,capital one,credit card
2025-12-23,Credit-Travel Reward,credit,3.76,Income,CC Rewards,capital one,credit card
2025-12-23,Credit-Travel Reward,credit,15.14,Income,CC Rewards,capital one,credit card
2025-12-23,Cinemark Online,debit,-23.4,Entertainment,Streaming/Movies,capital one,credit card
2025-12-27,Home Depot,debit,-1.4,Shopping & Supplies,Home Improvement,capital one,credit card
2025-12-27,Noodles And Company,debit,-10.95,Food / Dining,Fast Food,capital one,credit card
2025-12-29,Walmart Supercenter,debit,-39.62,Food / Dining,Groceries,capital one,credit card
2025-12-29,Cafe Zupas,debit,-14.09,Food / Dining,Restaurants/Dining,capital one,credit card
2025-12-29,Amazon,credit,3.9,Shopping & Supplies,General Retail,goldenwest,checking
2025-12-30,Hrb Online Tax Product,debit,-10.0,Housing & Bills,Service Fees,capital one,credit card
2025-12-31,Interest Earned,credit,1.91,Savings & Investments,Dividends,goldenwest,gold account
2025-12-31,Rewards From Golden,credit,20.05,Other Income,Other,goldenwest,gold account
2025-12-31,Interest Earned,credit,0.01,Savings & Investments,Dividends,goldenwest,money market
2025-12-31,Interest Earned,credit,0.47,Savings & Investments,Dividends,sofi,savings
2025-12-31,Interest Earned,credit,0.02,Savings & Investments,Dividends,goldenwest,checking
